,ISCO,remote
0,1219,yes
1,1219,no
2,1219,yes
3,1219,yes
4,1219,no
5,1219,yes
6,1219,yes
7,1219,yes
8,1219,no
9,1219,no
10,1219,yes
11,1219,yes
12,1219,yes
13,1219,no
14,1219,yes
15,1219,unknown
16,1219,yes
17,1219,no
18,1219,yes
19,1219,yes
20,1219,yes
21,1219,yes
22,1219,yes
23,1219,yes
24,1219,no
25,1219,no
26,1219,no
27,1219,no
28,1219,yes
29,1219,no
30,1219,no
31,1219,no
32,1219,yes
33,1219,yes
34,1219,yes
35,1219,yes
36,1219,no
37,1219,no
38,1219,unknown
39,1219,no
40,1219,yes
41,1219,no
42,1219,no
43,1219,unknown
44,1219,no
45,1219,no
46,1219,yes
47,1219,yes
48,1219,yes
49,1219,yes
50,1219,yes
51,1219,no
52,1219,yes
53,1219,yes
54,1219,yes
55,1219,yes
56,1219,no
57,1219,no
58,1219,yes
59,1219,yes
60,1219,no
61,1219,no
62,1219,yes
63,1219,no
64,1219,yes
65,1219,no
66,1219,no
67,1219,yes
68,1219,no
69,1219,no
70,1219,no
71,1219,no
72,1219,no
73,1219,no
74,1219,no
75,1219,no
76,1219,no
77,1219,no
78,1219,no
79,1219,no
80,1219,no
81,1219,no
82,1219,no
83,1219,no
84,1219,no
85,1219,no
86,1219,no
87,1219,no
88,1219,yes
89,1219,yes
90,1219,yes
91,1219,yes
92,1219,no
93,1219,no
94,1219,no
95,1219,no
96,1219,no
97,1219,yes
98,1219,no
